Port,latitude,longitude,geometry,AOI_projected,AOI
Benoa ,-8.75,115.21667,POINT (115.21667 -8.75),"POLYGON ((7421949.449896886 7105233.729291101, 7421949.449896886 7061233.729291101, 7377949.449896886 7061233.729291101, 7377949.449896886 7105233.729291101, 7421949.449896886 7105233.729291101))","POLYGON ((115.21263384994938 -8.56605253431947, 115.40178784904148 -8.745692878239423, 115.22073073668508 -8.934414153485907, 115.0315275647772 -8.753748072768541, 115.21263384994938 -8.56605253431947))"
Bitung ,1.43333,125.18333,POINT (125.18333 1.43333),"POLYGON ((10007427.464175383 6854256.094776302, 10007427.464175383 6810256.094776302, 9963427.464175383 6810256.094776302, 9963427.464175383 6854256.094776302, 10007427.464175383 6854256.094776302))","POLYGON ((125.15451195727272 1.5882167667551457, 125.33734843645611 1.4625950838916808, 125.21229408392907 1.2780544096958388, 125.02916552414237 1.404442721420075, 125.15451195727272 1.5882167667551457))"
Blanglancang ,5.23333,97.1,POINT (97.1 5.23333),"POLYGON ((6307711.832524945 11256480.825441226, 6307711.832524945 11212480.825441226, 6263711.832524945 11212480.825441226, 6263711.832524945 11256480.825441226, 6307711.832524945 11256480.825441226))","POLYGON ((97.13995982883038 5.375313630587519, 97.24189232937363 5.193328651418275, 97.05985385883386 5.091009395114197, 96.95829398110722 5.273632978831263, 97.13995982883038 5.375313630587519))"
Blinyu ,-1.63333,105.78333,POINT (105.78333 -1.63333),"POLYGON ((7010524.36313257 9166747.5669886, 7010524.36313257 9122747.5669886, 6966524.36313257 9122747.5669886, 6966524.36313257 9166747.5669886, 7010524.36313257 9166747.5669886))","POLYGON ((105.80510447483411 -1.4691488272470228, 105.94674542958617 -1.6550843333084428, 105.76143852567535 -1.7979301467603845, 105.62003156825449 -1.6111428209958227, 105.80510447483411 -1.4691488272470228))"
Bontang Lng Terminal ,0.1,117.48333,POINT (117.48333 0.1),"POLYGON ((8872897.585541354 7884922.081223247, 8872897.585541354 7840922.081223247, 8828897.585541354 7840922.081223247, 8828897.585541354 7884922.081223247, 8872897.585541354 7884922.081223247))","POLYGON ((117.47390042328351 0.2608078670524583, 117.64324574632542 0.1097284181144556, 117.49280918167919 -0.0612296050009279, 117.32336464939227 0.0906925155102044, 117.47390042328351 0.2608078670524583))"
Bula ,-3.1,130.5,POINT (130.5 -3.1),"POLYGON ((9813667.93115941 5535793.924436591, 9813667.93115941 5491793.924436591, 9769667.93115941 5491793.924436591, 9769667.93115941 5535793.924436591, 9813667.93115941 5535793.924436591))","POLYGON ((130.45468296481724 -2.9367665469738498, 130.6624470907522 -3.0541221779087278, 130.54555935558503 -3.2636095902732496, 130.33731059202213 -3.1454741055004227, 130.45468296481724 -2.9367665469738498))"
Celukan Bawang ,-8.18333,114.83333,POINT (114.83333 -8.18333),"POLYGON ((7446253.674169248 7218492.067225385, 7446253.674169248 7174492.067225385, 7402253.674169248 7174492.067225385, 7402253.674169248 7218492.067225385, 7446253.674169248 7218492.067225385))","POLYGON ((114.8304810717301 -8.000799141739964, 115.0167528990339 -8.180208062643324, 114.83619612310083 -8.366325666647187, 114.64988990644632 -8.185902174411, 114.8304810717301 -8.000799141739964))"
Cilacap ,-7.73333,109.0,POINT (109 -7.73333),"POLYGON ((6774600.296280445 7953348.349722104, 6774600.296280445 7909348.349722104, 6730600.296280445 7909348.349722104, 6730600.296280445 7953348.349722104, 6774600.296280445 7953348.349722104))","POLYGON ((109.01452796120823 -7.552501805156451, 109.18155999831376 -7.747596075597002, 108.98538527274776 -7.914615059658523, 108.81852676620196 -7.718527836388129, 109.01452796120823 -7.552501805156451))"
Cinta Oil Terminal ,-5.5,106.23333,POINT (106.23333 -5.5),"POLYGON ((6646141.734047851 8558594.889943922, 6646141.734047851 8514594.889943922, 6602141.734047851 8514594.889943922, 6602141.734047851 8558594.889943922, 6646141.734047851 8558594.889943922))","POLYGON ((106.25523811670094 -5.325693395550512, 106.40756236268034 -5.521769685681032, 106.21129635157611 -5.674745383516946, 106.05922316702622 -5.47773884329857, 106.25523811670094 -5.325693395550512))"
Dabo ,-0.5,104.56667,POINT (104.56667 -0.5),"POLYGON ((6953490.635938274 9477401.83498153, 6953490.635938274 9433401.83498153, 6909490.635938274 9433401.83498153, 6909490.635938274 9477401.83498153, 6953490.635938274 9477401.83498153))","POLYGON ((104.59123468735807 -0.3392240475010493, 104.72664270147712 -0.5245878280587261, 104.54197611466051 -0.6611841626929718, 104.40682649476891 -0.4749998677744827, 104.59123468735807 -0.3392240475010493))"
Donggala ,-0.65,119.73333,POINT (119.73333 -0.65),"POLYGON ((9046039.978591753 7461534.595199388, 9046039.978591753 7417534.595199388, 9002039.978591753 7417534.595199388, 9002039.978591753 7461534.595199388, 9046039.978591753 7461534.595199388))","POLYGON ((119.7178331719189 -0.4876890040728549, 119.89473242902342 -0.6341453348204712, 119.74890911838185 -0.8127320720868004, 119.57184528181917 -0.665428240942967, 119.7178331719189 -0.4876890040728549))"
Dumai ,1.68333,101.45,POINT (101.45 1.68333),"POLYGON ((6694489.6156355385 10174053.999980345, 6694489.6156355385 10130053.999980345, 6650489.6156355385 10130053.999980345, 6650489.6156355385 10174053.999980345, 6694489.6156355385 10174053.999980345))","POLYGON ((101.48154358411225 1.8370058991253577, 101.60298249090621 1.6516927356743714, 101.41829779828205 1.5292724102534463, 101.29717612478949 1.715336122268717, 101.48154358411225 1.8370058991253577))"
